parent,name,size,type
urllib3,response.py,30109,file
urllib3,util,97190,dir
util,connection.py,4901,file
util,proxy.py,1605,file
util,queue.py,498,file
util,request.py,3997,file
util,response.py,3510,file
util,retry.py,22001,file
util,ssltransport.py,6895,file
util,ssl_.py,17177,file
util,ssl_match_hostname.py,5758,file
util,timeout.py,10003,file
util,url.py,14287,file
util,wait.py,5403,file
util,__init__.py,1155,file
urllib3,_collections.py,10811,file
urllib3,_version.py,64,file
urllib3,__init__.py,3333,file
_vendor,vendor.txt,469,file
_vendor,webencodings,31733,dir
webencodings,labels.py,8979,file
webencodings,mklabels.py,1305,file
webencodings,tests.py,6563,file
webencodings,x_user_defined.py,4307,file
webencodings,__init__.py,10579,file
_vendor,__init__.py,4966,file
pip,__init__.py,357,file
pip,__main__.py,1198,file
pip,__pip-runner__.py,1444,file
site-packages,pip-22.3.1.dist-info,76670,dir
pip-22.3.1.dist-info,entry_points.txt,125,file
pip-22.3.1.dist-info,INSTALLER,5,file
pip-22.3.1.dist-info,LICENSE.txt,1093,file
pip-22.3.1.dist-info,METADATA,4072,file
pip-22.3.1.dist-info,RECORD,71279,file
pip-22.3.1.dist-info,top_level.txt,4,file
pip-22.3.1.dist-info,WHEEL,92,file
site-packages,pip-22.3.1.virtualenv,0,file
site-packages,pkg_resources,1510808,dir
pkg_resources,extern,5377,dir
extern,__init__.py,2426,file
extern,__pycache__,2951,dir
__pycache__,__init__.cpython-310.pyc,2951,file
pkg_resources,_vendor,1296297,dir
_vendor,appdirs.py,24701,file
_vendor,importlib_resources,25123,dir
importlib_resources,abc.py,3886,file
importlib_resources,readers.py,3566,file
importlib_resources,simple.py,2836,file
importlib_resources,_adapters.py,4504,file
importlib_resources,_common.py,2741,file
importlib_resources,_compat.py,2706,file
importlib_resources,_itertools.py,884,file
importlib_resources,_legacy.py,3494,file
importlib_resources,__init__.py,506,file
_vendor,jaraco,76306,dir
jaraco,context.py,5420,file
jaraco,functools.py,13515,file
jaraco,text,35200,dir
text,__init__.py,15526,file
text,__pycache__,19674,dir
__pycache__,__init__.cpython-310.pyc,19674,file
jaraco,__init__.py,0,file
jaraco,__pycache__,22171,dir
__pycache__,context.cpython-310.pyc,6337,file
__pycache__,functools.cpython-310.pyc,15629,file
__pycache__,__init__.cpython-310.pyc,205,file
_vendor,more_itertools,294736,dir
more_itertools,more.py,132569,file
more_itertools,recipes.py,18410,file
more_itertools,__init__.py,83,file
more_itertools,__pycache__,143674,dir
__pycache__,more.cpython-310.pyc,123053,file
__pycache__,recipes.cpython-310.pyc,20341,file
__pycache__,__init__.cpython-310.pyc,280,file
_vendor,packaging,175646,dir
packaging,markers.py,8496,file
packaging,requirements.py,4706,file
packaging,specifiers.py,30110,file
packaging,tags.py,15699,file
packaging,utils.py,4200,file
packaging,version.py,14665,file
packaging,_manylinux.py,11488,file
packaging,_musllinux.py,4378,file
packaging,_structures.py,1431,file
packaging,__about__.py,661,file
packaging,__init__.py,497,file
packaging,__pycache__,79315,dir
__pycache__,markers.cpython-310.pyc,9311,file
__pycache__,requirements.cpython-310.pyc,3999,file
__pycache__,specifiers.cpython-310.pyc,21542,file
__pycache__,tags.cpython-310.pyc,12205,file
__pycache__,utils.cpython-310.pyc,3590,file
__pycache__,version.cpython-310.pyc,12940,file
__pycache__,_manylinux.cpython-310.pyc,7315,file
__pycache__,_musllinux.cpython-310.pyc,4627,file
__pycache__,_structures.cpython-310.pyc,2720,file
__pycache__,__about__.cpython-310.pyc,605,file
__pycache__,__init__.cpython-310.pyc,461,file
_vendor,pyparsing,670903,dir
pyparsing,actions.py,6426,file
pyparsing,common.py,12936,file
pyparsing,core.py,213310,file
pyparsing,diagram,23668,dir
diagram,__init__.py,23668,file
pyparsing,exceptions.py,9023,file
pyparsing,helpers.py,39129,file
pyparsing,results.py,25341,file
pyparsing,testing.py,13402,file
pyparsing,unicode.py,10787,file
pyparsing,util.py,6805,file
pyparsing,__init__.py,9159,file
pyparsing,__pycache__,300917,dir
__pycache__,actions.cpython-310.pyc,7194,file
__pycache__,common.cpython-310.pyc,10120,file
__pycache__,core.cpython-310.pyc,176437,file
__pycache__,exceptions.cpython-310.pyc,9078,file
__pycache__,helpers.cpython-310.pyc,35355,file
__pycache__,results.cpython-310.pyc,24796,file
__pycache__,testing.cpython-310.pyc,12112,file
__pycache__,unicode.cpython-310.pyc,10073,file
__pycache__,util.cpython-310.pyc,8620,file
__pycache__,__init__.cpython-310.pyc,7132,file
_vendor,zipp.py,8425,file
_vendor,__init__.py,0,file
_vendor,__pycache__,20457,dir
__pycache__,appdirs.cpython-310.pyc,20259,file
__pycache__,__init__.cpython-310.pyc,198,file
pkg_resources,__init__.py,108568,file
pkg_resources,__pycache__,100566,dir
__pycache__,__init__.cpython-310.pyc,100566,file
site-packages,setuptools,3027307,dir
setuptools,archive_util.py,7346,file
setuptools,build_meta.py,19539,file
setuptools,cli-32.exe,65536,file
setuptools,cli-64.exe,74752,file
setuptools,cli-arm64.exe,137216,file
setuptools,cli.exe,65536,file
setuptools,command,267898,dir
command,alias.py,2381,file
command,bdist_egg.py,16623,file
command,bdist_rpm.py,1182,file
command,build.py,6589,file
command,build_clib.py,4415,file
command,build_ext.py,15821,file
command,build_py.py,14115,file
command,develop.py,7012,file
command,dist_info.py,4800,file
command,easy_install.py,85662,file
command,editable_wheel.py,31188,file
command,egg_info.py,26795,file
command,install.py,5163,file
command,install_egg_info.py,2226,file
command,install_lib.py,3875,file
command,install_scripts.py,2612,file
command,launcher manifest.xml,628,file
command,py36compat.py,4946,file
command,register.py,468,file
command,rotate.py,2128,file
command,saveopts.py,658,file
command,sdist.py,7071,file
command,setopt.py,5086,file
command,test.py,8102,file
command,upload.py,462,file
command,upload_docs.py,7494,file
command,__init__.py,396,file
setuptools,config,369045,dir
config,expand.py,16319,file
config,pyprojecttoml.py,19304,file
config,setupcfg.py,25198,file
config,_apply_pyprojecttoml.py,13398,file
config,_validate_pyproject,293705,dir
_validate_pyproject,error_reporting.py,11266,file
_validate_pyproject,extra_validations.py,1153,file
_validate_pyproject,fastjsonschema_exceptions.py,1612,file
_validate_pyproject,fastjsonschema_validations.py,269900,file
_validate_pyproject,formats.py,8736,file
_validate_pyproject,__init__.py,1038,file
config,__init__.py,1121,file
setuptools,depends.py,5499,file
setuptools,dep_util.py,949,file
setuptools,discovery.py,20799,file
setuptools,dist.py,45578,file
setuptools,errors.py,2464,file
setuptools,extension.py,5591,file
setuptools,extern,2512,dir
extern,__init__.py,2512,file
setuptools,glob.py,4873,file
setuptools,gui-32.exe,65536,file
setuptools,gui-64.exe,75264,file
setuptools,gui-arm64.exe,137728,file
setuptools,gui.exe,65536,file
setuptools,installer.py,3824,file
setuptools,launch.py,812,file
setuptools,logging.py,1210,file
